EXPOCODE,adjustment,inversion,inversion_full,preadjustment,uncertainties,offsets_preadj,offsets_preadj_u,offsets_post,offsets_post_u,numberofxovers,trends_pre,trends_adj,intercept_pre,intercept_post
06AQ19860627,12.045650762989304,2.045650762989305,3.433663373060071,10.0,1.7439288948157967,-1.9895856535325915,0.5266353435165476,3.8421462301744087e-17,0.5257155192545137,13.0,0.0,0.0,-1.416797872839571,0.8808226178059653
06AQ19920521,-888.0,0.0,-3.329788575530769,0.0,7.5284040916913,7.837683694905105,6.2612712453656085,7.8291127974988814,7.5284040916913,5.0,0.410159687259436,0.0,7.1291340353299235,6.895501391403922
06AQ19920530,0.0,0.0,2.3544674924986357,0.0,0.5247524818618395,-0.9201496621203268,0.8475018885892415,-1.1058625972097467,0.5247524818618395,20.0,0.0,0.0,-0.7960945553261162,-1.0189698456372263
06AQ19920929,-888.0,0.0,8.537832626739668,0.0,3.1698476192170713,-4.013964729023315,5.285922094726975,-4.013964729023315,3.1698476192170713,1.0,0.0,0.0,-4.32882694377675,-4.6436891585301865
06AQ19921203,3.558054016536794,3.558054016536794,3.726202080245478,0.0,2.4937924351218532,-3.567085591341655,0.7979663770585044,-1.30380217314752e-15,0.8353938465497118,9.0,0.0,0.0,-2.9506356972778063,0.9595679801694674
06AQ19960317,0.0,0.0,-0.2546867784422662,0.0,0.7201088345051785,1.3086401345376828,0.7846858727606527,1.0543152460650553,0.7201088345051785,23.0,0.0,0.0,1.618600494427289,1.100474166415499
06AQ19980328,0.0,0.0,-1.3815443335274358,0.0,0.44740334764687895,3.0985471629686283,0.6864035197788738,2.5613354744194963,0.44740334764687895,20.0,0.15283518218003098,0.0,3.2517970516153607,2.398360016142859
06AQ20021124,0.0,0.0,1.7384202707989378,0.0,0.5305306255562854,-1.2574404667957275,0.5708687731780373,-1.3734066017434075,0.5305306255562854,17.0,0.0,0.0,-1.2039796294383136,-1.4188938114205043
06AQ20050122,0.0,0.0,-0.046274903332022554,0.0,0.5431713075040246,0.9393789406025453,0.8350326820348654,1.071638879846616,0.5431713075040246,19.0,0.0,0.0,0.9882641225138129,0.9063968604358406
06AQ20060825,0.0,0.0,1.3830363300864557,0.0,0.9454104372676486,-1.5877149858259458,1.592516748067422,-0.8015147924174558,0.9454104372676486,11.0,0.0,0.0,-1.2831764365518166,-1.1410105426085424
06AQ20071128,0.0,0.0,0.5803702503136344,0.0,0.4397419293962276,0.14624304394724585,0.5433491073570518,-0.030158535175307505,0.4397419293962276,12.0,0.0,0.0,0.12696588935187844,-0.017088302205079883
06AQ20080210,0.0,0.0,0.11384628055920396,0.0,0.3566591214027697,0.7777987823828277,0.5445702117832515,0.6680736709497649,0.3566591214027697,22.0,0.0,0.0,0.681393776673551,0.49438384554300413
06AQ20101128,1.052621500190931,1.052621500190931,2.0137221981933275,0.0,1.6092509797817682,-0.8570623702009456,0.537519184106945,-1.7609746178597984e-17,0.5082849590020941,19.0,0.0,0.0,-1.561589746720372,-0.449027573387572
06AQ20120107,0.0,0.0,-1.372630471923349,0.0,2.222452785071568,3.378351586201331,2.222452785071568,3.378351586201331,2.222452785071568,4.0,0.0,0.0,2.317923171798233,2.2001595891595382
06AQ20141202,0.0,0.0,0.9034303254147602,0.0,0.46723318257277663,0.01971811689913273,0.47245316394850884,-0.3082693390280577,0.46723318257277663,20.0,0.09737457496893416,0.0,-0.5990366779580464,-0.44571808921126743
06AQ20181215,0.0,0.0,-1.5659651892029178,0.0,0.3816684310701009,2.8215219949170653,0.7338601208412708,2.3083616283330195,0.3816684310701009,10.0,0.0,0.0,1.9456181055228943,2.247844481397903
06GA19960613,0.0,0.0,-2.010964993127968,0.0,1.1693326551293672,1.9435651579537145,1.1693326551293672,1.9435651579537145,1.1693326551293672,6.0,0.0,0.0,2.9226857832386393,3.2415859299596637
06GA20000506,0.0,0.0,-1.426421139459567,0.0,0.4764835288258635,0.7567426149844084,0.801349764699418,1.426529062982145,0.4764835288258635,13.0,0.0,0.0,0.681737239417937,1.5653903832741827
06M220170104,2.5847209726513913,2.5847209726513913,3.207590450675418,0.0,3.0977382866737013,-1.658245619782065,0.978056774418493,-2.0196519627249351e-16,0.747171445388457,11.0,0.48014309018781526,0.2609595960699754,-4.671367898244622,-1.822292035837426
06MT19900123,-888.0,0.0,4.523867897716352,0.0,3.9801328472687225,-6.2060179062860135,4.207726629187801,-6.295900960657488,3.9801328472687225,27.0,-0.2328056271280912,0.0,-7.257105984825075,-7.726811290577739
06MT19910210,0.0,0.0,0.0,0.0,3.0140106761140086,-2.661726075783257,3.167544146517536,-2.6701378366000723,3.0140106761140086,11.0,0.0,0.0,-2.083469857222909,-2.370309181757119
06MT19920509,3.7941656512700583,3.7941656512700583,3.931962030273455,0.0,2.556066105103597,-3.190590218285289,0.9920831841015442,4.921864696835136e-16,0.7324803111115988,5.0,0.25505474720717436,0.0,-2.2118499018201083,-0.34855168797672537
06MT19921227,0.0,0.0,0.518057966102639,0.0,0.8317047230061992,1.8116010663330324,1.588958176288547,-0.36067329553556593,0.8317047230061992,10.0,0.3155932018369335,0.0,2.2278506739205977,-0.7930511746420681
06MT19940329,2.1498610818968973,2.1498610818968973,2.5131233273673383,0.0,2.895403369332792,-1.7142110075963382,1.306748203673322,-3.1841857726510544e-16,0.6012954403326873,12.0,0.0,0.0,-1.8023308255824737,-0.022298062512557948
06MT19941012,0.0,0.0,1.2901599360396074,0.0,0.3608006273743418,-2.879467926218595,0.8791590558283,-1.3589254731273106,0.3608006273743418,13.0,0.0,0.0,-2.8685385117053435,-0.8369425945286746
06MT19960613,4.937167677861381,4.937167677861381,4.838502506577913,0.0,2.922473276677024,-4.838502506577913,1.0705449545830992,1.352747147678634e-16,0.9613987577234275,7.0,0.0,0.0,-5.249228339311669,-0.5368477227679205
06MT19970107,0.0,0.0,2.832141451895385,0.0,1.9085591918517106,-1.145506080923238,1.9085591918517106,-1.145506080923238,1.9085591918517106,4.0,0.0,0.0,-3.163685061795407,-2.441280387197707
06MT19970611,0.0,0.0,-0.14957571052789215,0.0,0.3794431858205785,-0.801416502082956,0.7110230076098445,0.15150949822233048,0.3794431858205785,14.0,0.0,0.0,-0.7657261510830934,0.5308082308621119
06MT20010717,0.0,0.0,0.5497703460182229,0.0,0.5856312016879303,-1.7397219375652486,0.6070647389062809,-0.9199090334480972,0.5856312016879303,13.0,0.0,0.0,-1.7847483104492248,-1.1228962811010168
06MT20030723,0.0,0.0,-1.434571389100678,0.0,0.4435628784446393,0.6095091934775132,0.6170519599668713,1.4507406455070044,0.4435628784446393,14.0,0.0,0.0,0.3234797472187857,0.7494456185729439
06MT20040311,0.0,0.0,-0.5684139134342288,0.0,0.46439627384749477,0.7093982811439633,0.5372652972198853,0.6824240056785965,0.46439627384749477,24.0,0.17083465593331018,0.0,0.6551915104977158,0.6431868554774683
06MT20060606,0.0,0.0,-1.0133587676055718,0.0,0.5517650931423903,0.8788685212158696,0.7310922549579695,0.97068595615034,0.5517650931423903,7.0,0.14332708988861678,0.0,0.5425044445446582,1.061788760331905
